,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 18 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Total,"2,579,538","51,445","20,620","19,087","50,193","13,237","14,658","27,283","52,849","36,609","28,979","169,565","167,172","443,349","242,080","25,653","14,041","18,450","9,647","13,770","29,954","30,597","61,521","132,349","33,478","30,714","57,453","164,884","100,403","27,263","12,716","10,160","11,613","32,164","53,031","26,633","10,761","19,789","20,357","10,287","107,719","17,442","26,029","31,196","23,492","21,864","31,141","25,841","540,015","148,443","219,421","1,288,604","69,151","47,196","53,333","40,757","369,429","134,711","86,606","14,000","18,082","13,784","84,801","43,308","97,768","26,589","44,495","40,363","28,007","76,224"
Hokkaido,"71,712",-,"2,029",956,"2,668",660,581,770,"1,626","1,266",806,"5,876","6,391","16,750","8,920",882,469,488,223,294,814,640,"1,900","4,872",754,514,"1,023","2,367","1,308",302,118,85,89,353,575,247,182,191,232,124,"1,231",123,217,312,226,222,263,773,"37,937","6,266","5,000","73,169","45,236","1,896","1,439",910,"12,058","3,916","2,099",335,321,243,"1,517",702,831,162,457,305,184,558
Aomori-ken,"30,894","2,421",-,"2,253","3,680","1,248",479,720,659,588,349,"2,319","2,079","5,765","3,285",252,109,125,73,96,205,178,548,"1,161",158,73,233,363,206,76,40,34,40,52,161,100,31,32,45,19,206,33,70,41,30,46,72,141,"13,448","1,497",878,"11,034",843,"2,622",454,329,"4,081","1,087",668,70,73,80,249,114,155,23,72,26,30,58
Iwate-ken,"26,097","1,030","2,197",-,"5,522","1,222",538,875,468,499,291,"1,737","1,554","4,526","2,259",233,80,64,18,119,165,119,425,544,235,50,113,285,200,47,23,18,14,53,62,31,9,25,30,19,153,19,18,30,27,16,61,74,"10,076",898,645,"10,194",429,"3,811",373,239,"3,229",915,479,82,52,50,182,75,80,33,48,34,42,41
Miyagi-ken,"55,587","2,412","2,671","4,231",-,"1,948","3,359","4,757","1,207","1,237",520,"4,249","3,839","10,152","5,374",842,186,183,69,191,314,240,880,"1,684",308,134,368,"1,134",617,103,42,42,27,182,344,106,50,106,133,46,590,28,62,117,68,62,148,225,"23,614","2,232","2,222","29,504","1,322","12,290","1,333",643,"7,325","2,532","1,215",347,174,106,711,261,334,66,226,228,47,344
Akita-ken,"20,043",729,"1,164","1,411","2,847",-,759,644,374,341,197,"1,508","1,344","3,954","1,895",365,76,76,26,48,166,75,303,595,88,39,129,228,105,22,8,16,16,59,75,37,15,11,27,9,94,10,16,18,16,20,47,41,"8,701",758,484,"7,871",327,"2,136",356,243,"2,836",772,458,156,37,30,180,110,87,10,35,35,12,51
Yamagata-ken,"19,853",545,426,549,"4,196",587,-,"1,209",388,440,225,"1,402","1,128","3,742","1,782",763,78,93,32,84,202,61,308,341,85,63,122,285,124,34,13,11,10,32,77,58,10,13,21,14,96,16,32,51,22,19,18,46,"8,054",487,565,"8,420",252,"3,048",312,184,"2,654",724,390,314,56,36,109,82,106,25,47,31,8,42
Fukushima-ken,"36,232",749,568,822,"5,758",498,"1,180",-,"2,054","1,764",535,"3,239","2,537","7,732","3,556",786,85,89,64,146,251,116,558,656,155,78,197,530,254,65,37,19,48,68,149,55,14,43,67,14,212,20,40,56,96,44,83,145,"17,064",927,"1,046","14,447",305,"3,864",742,399,"5,461","1,476",847,303,125,38,243,148,166,35,89,60,36,110
Ibaraki-ken,"55,295","1,233",375,317,996,235,262,"1,604",-,"3,855","1,001","6,035","10,274","13,205","5,298",571,148,206,122,319,529,245,981,"1,268",271,222,459,"1,076",688,145,129,59,112,206,362,169,60,131,135,72,696,77,106,202,160,162,197,320,"34,812","1,784","2,368","19,158",493,623,"1,258",994,"10,008","2,154","1,296",159,142,133,434,293,298,66,213,172,192,230
Tochigi-ken,"36,727",811,276,344,887,175,280,"1,269","3,416",-,"2,884","5,404","2,599","7,899","3,717",453,106,125,37,176,439,159,729,863,522,152,197,603,405,84,31,22,42,133,180,88,20,54,68,62,367,57,53,123,77,99,102,138,"19,619","1,544","1,289","12,356",304,578,"1,422",467,"5,762","1,549",812,157,163,77,304,139,136,67,139,71,67,142
Gumma-ken,"31,845",610,246,169,477,134,159,370,"1,133","2,761",-,"6,780","2,024","7,159","3,006","1,082",113,126,60,182,"1,031",129,601,737,116,70,238,532,331,64,29,31,28,85,143,82,45,49,50,38,302,35,59,84,70,40,92,143,"18,969",982,"1,165","10,595",248,342,"1,236",344,"5,056","1,232",637,318,152,64,262,168,134,45,113,70,45,129
