,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 19 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Total,"2,469,579","51,598","20,700","18,642","49,058","13,670","14,512","26,430","53,268","33,830","28,499","168,888","162,199","413,370","228,793","24,544","12,964","18,194","9,391","14,179","27,939","27,962","57,844","120,530","30,334","28,095","54,863","159,651","97,234","26,387","12,675","9,870","11,101","29,712","49,757","24,863","10,477","19,122","19,913","10,341","104,136","16,948","25,929","30,520","21,193","21,696","31,105","26,653","505,873","131,912","213,243","1,254,314","65,206","44,701","53,976","39,563","345,888","127,773","79,173","18,490","17,317","18,014","83,179","41,558","96,982","25,755","44,321","15,154","37,903","27,546","71,815"
Hokkaido,"63,776",-,"1,728",846,"2,332",682,513,727,"1,566",858,721,"5,298","6,154","15,013","7,776",766,363,456,148,316,574,504,"1,725","3,966",541,396,932,"2,289","1,351",309,134,90,124,292,540,232,142,168,205,91,"1,083",121,172,227,143,225,242,695,"34,241","5,011","4,881","66,738","41,197","1,731","1,278",987,"10,804","3,440","1,755",390,328,306,"1,473",646,769,156,487,107,267,138,479
Aomori-ken,"27,299","1,950",-,"2,029","3,490","1,136",426,657,562,412,297,"2,098","1,933","5,081","3,046",267,89,98,50,67,206,130,512,788,131,56,159,285,162,52,26,26,14,69,176,73,27,32,36,32,206,31,64,28,41,62,56,131,"12,158","1,049",658,"10,186",684,"2,515",449,271,"3,576","1,120",636,119,72,99,225,69,121,13,65,20,40,28,64
Iwate-ken,"24,185",922,"1,983",-,"5,026","1,050",472,817,454,467,266,"1,612","1,540","4,084","2,304",203,38,35,18,103,144,80,365,462,484,30,106,261,162,60,17,20,22,34,67,32,13,19,39,16,120,18,16,28,20,18,47,91,"9,540","1,026",589,"9,398",410,"3,304",382,231,"2,840",990,537,90,73,50,150,72,86,14,50,13,33,18,55
Miyagi-ken,"50,985","2,211","2,480","3,864",-,"1,870","3,214","4,213","1,154","1,057",547,"3,976","3,749","9,185","4,742",753,174,365,60,156,289,149,765,"1,402",167,123,318,"1,110",584,92,57,38,29,131,311,110,31,117,91,34,638,32,54,137,43,49,109,205,"21,652","1,718","2,104","27,541","1,271","11,421","1,220",683,"6,776","2,179","1,081",408,151,125,705,223,340,86,187,60,197,94,334
Akita-ken,"18,219",659,"1,075","1,205","2,664",-,704,567,329,286,181,"1,415","1,327","3,488","1,842",333,51,85,43,55,124,70,293,409,53,45,110,203,104,33,15,13,9,31,43,31,7,28,33,11,81,10,14,16,25,23,31,45,"8,072",532,450,"7,282",297,"1,963",347,194,"2,521",775,416,186,67,62,142,85,80,15,37,15,30,23,27
Yamagata-ken,"18,512",468,387,475,"3,896",617,-,"1,156",396,408,207,"1,371","1,094","3,407","1,812",601,73,80,18,66,236,39,251,316,54,69,150,196,132,28,22,6,13,26,51,34,20,17,19,11,61,49,26,59,27,23,15,30,"7,684",409,506,"7,849",196,"2,798",376,183,"2,305",691,460,332,50,28,121,112,59,11,62,11,17,14,23
Fukushima-ken,"34,339",644,603,725,"5,595",546,"1,077",-,"2,113","1,698",538,"3,145","2,440","6,852","3,456",855,83,112,51,136,232,91,517,581,184,103,153,414,284,51,15,20,21,50,130,49,30,55,54,25,237,27,46,58,47,45,77,74,"15,893",856,902,"13,390",262,"3,497",793,378,"4,842","1,486",737,394,80,87,238,109,130,29,62,21,78,65,102
Ibaraki-ken,"51,546","1,301",400,304,949,234,273,"1,487",-,"3,411",950,"5,674","9,262","12,007","5,060",574,130,155,140,252,433,243,"1,001","1,098",310,225,428,"1,109",707,131,86,67,65,208,377,226,68,127,129,62,522,118,148,170,176,142,215,392,"32,003","1,651","2,375","18,095",536,591,"1,225","1,042","9,113","2,153","1,078",240,162,171,453,248,308,86,207,59,153,104,166
Tochigi-ken,"36,403",765,325,361,932,201,262,"1,262","3,505",-,"2,885","5,554","2,600","7,133","3,695",552,88,128,57,163,422,120,702,802,315,122,233,607,403,77,58,35,57,109,192,66,32,59,70,55,695,100,60,102,70,98,117,157,"18,982","1,237","1,320","12,175",305,610,"1,591",421,"5,143","1,440",816,249,121,121,305,154,196,57,130,34,86,74,322
Gumma-ken,"30,381",625,237,192,473,163,160,473,947,"2,561",-,"6,673","1,899","6,350","2,862","1,034",107,191,53,229,974,133,612,706,105,117,206,502,351,75,44,17,31,119,124,65,46,53,47,31,257,46,47,95,76,59,68,146,"17,784",944,"1,134","10,075",251,303,"1,260",346,"4,514","1,160",638,375,123,100,306,154,154,40,108,37,56,51,99
