,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Total,"2,332,392","48,784","19,963","17,893","47,358","12,735","13,517","25,611","50,029","31,940","27,335","162,483","151,402","396,318","215,904","23,754","12,664","17,182","9,058","13,070","26,871","26,793","52,128","105,769","27,619","26,793","53,014","151,123","90,632","25,690","12,064","9,319","10,749","28,005","47,265","23,041","10,120","18,458","18,762","10,778","98,435","15,906","24,343","28,759","19,505","19,870","29,182","24,399","470,077","117,011","200,663","1,225,506","61,907","43,306","51,157","37,513","334,899","122,121","74,295","18,789","18,120","16,561","16,541","76,083","40,280","93,127","24,212","42,641","21,466","36,673","26,081","69,734"
Hokkaido,"57,421",-,"1,740",856,"2,035",569,411,664,"1,391",725,667,"4,591","5,077","13,740","7,226",714,298,433,175,250,582,422,"1,451","2,892",411,387,951,"2,275","1,315",315,120,117,110,296,508,187,117,147,183,103,"1,172",121,167,253,183,166,235,673,"30,634","3,725","4,856","63,121","39,431","1,438","1,163",831,"9,987","3,182","1,728",293,356,293,287,"1,051",608,768,152,430,132,247,195,549
Aomori-ken,"24,995","2,068",-,"2,121","3,178","1,046",411,579,590,355,285,"1,819","1,591","4,534","2,636",224,71,96,87,76,179,127,408,557,112,51,156,236,186,66,21,31,18,47,160,84,29,20,26,30,199,22,144,33,27,79,41,139,"10,580",796,644,"9,136",641,"2,244",414,273,"3,139",986,523,126,91,61,73,165,93,84,21,60,21,46,31,44
Iwate-ken,"22,131",938,"1,980",-,"4,631","1,003",452,761,411,375,293,"1,501","1,435","3,734","1,974",199,36,72,17,113,131,70,283,345,203,36,117,238,158,17,23,16,21,40,74,33,20,22,25,11,115,15,24,32,17,18,39,63,"8,644",618,530,"8,797",385,"3,086",348,231,"2,662",833,455,78,102,44,49,153,80,85,22,42,24,39,16,63
Miyagi-ken,"47,914","1,951","2,439","3,654",-,"1,877","2,965","4,191","1,142","1,056",440,"4,023","3,334","8,407","4,347",806,145,180,46,152,294,141,713,"1,281",157,126,304,"1,068",527,112,55,42,42,132,264,70,44,73,95,40,535,51,69,97,50,76,123,178,"20,111","1,579","2,011","26,511","1,097","11,376","1,368",585,"6,113","2,073",979,159,444,159,115,661,203,338,73,153,78,177,71,289
Akita-ken,"16,463",563,"1,001","1,122","2,446",-,589,482,313,335,199,"1,345","1,149","3,188","1,620",316,50,63,32,59,99,38,226,321,60,30,94,189,99,44,9,8,14,29,50,26,6,10,18,9,78,3,8,14,25,23,20,41,"7,302",419,426,"6,683",255,"1,825",329,177,"2,281",706,374,68,208,34,35,115,63,84,9,38,14,30,9,29
Yamagata-ken,"17,124",466,344,460,"3,633",555,-,"1,067",364,307,215,"1,262",982,"3,323","1,565",623,78,75,14,70,173,47,226,233,49,46,108,195,127,47,11,11,16,31,41,33,13,14,18,12,94,20,15,43,20,15,20,43,"7,132",329,477,"7,289",186,"2,588",285,144,"2,251",652,338,81,321,47,29,80,78,72,13,39,15,15,15,40
Fukushima-ken,"31,363",613,488,721,"5,099",439,992,-,"1,958","1,470",542,"2,688","2,275","6,386","3,103",837,57,113,77,138,252,94,442,448,148,82,168,359,267,43,34,19,26,59,133,52,13,52,85,17,211,20,30,68,27,51,70,97,"14,452",690,837,"12,630",250,"3,310",666,407,"4,518","1,324",656,162,448,59,80,167,107,126,28,87,32,53,46,104
Ibaraki-ken,"49,085","1,174",405,288,921,216,324,"1,525",-,"3,422","1,010","5,446","8,585","11,490","4,557",492,182,173,141,278,445,213,842,"1,033",300,239,378,"1,005",683,157,87,49,89,219,333,179,48,101,138,67,629,84,96,201,216,139,223,263,"30,078","1,546","2,223","17,307",460,551,"1,088",899,"8,766","1,852","1,014",215,238,165,157,462,244,300,88,234,92,120,113,249
Tochigi-ken,"33,465",753,272,333,867,194,219,"1,105","3,354",-,"2,533","5,133","2,289","6,626","3,293",465,170,133,43,154,431,139,620,774,259,126,303,560,412,103,28,27,33,126,167,80,48,64,47,32,441,102,75,108,59,99,113,153,"17,341","1,172","1,378","11,462",282,558,"1,558",435,"4,849","1,366",656,164,209,140,95,305,166,157,39,132,54,69,78,150
Gumma-ken,"28,633",618,202,187,466,140,142,412,924,"2,549",-,"6,141","1,774","6,191","2,746",849,105,153,42,209,914,99,469,639,127,93,234,476,315,73,18,30,34,118,114,79,40,66,69,32,281,58,43,73,48,42,68,131,"16,852",865,"1,098","9,545",253,314,"1,079",254,"4,318","1,150",559,138,336,109,64,248,163,145,38,125,50,51,50,101
