,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Total,"2,301,895","47,783","18,472","18,529","51,326","11,943","13,498","25,768","44,721","30,820","26,891","157,910","136,645","407,711","207,670","22,656","12,152","17,803","8,493","12,399","26,482","25,930","50,407","111,461","26,747","25,699","53,307","153,281","88,382","24,501","11,900","8,791","10,340","28,929","45,934","22,757","9,942","18,072","17,895","9,665","100,390","15,670","22,933","28,901","18,873","19,236","27,763","24,517","466,844","119,807","201,565","1,277,731","64,355","46,502","51,204","34,583","351,703","118,762","73,684","24,950","18,187","16,457","16,860","78,940","41,469","94,834","22,726","41,936","21,722","36,120","25,404","71,303","26,030"
Hokkaido,"55,937",-,"1,743",850,"2,680",538,483,738,"1,214",669,662,"4,369","4,599","13,901","6,507",607,339,406,145,240,575,356,"1,238","3,050",405,335,880,"2,089","1,244",263,131,79,98,306,538,199,100,159,179,95,"1,120",100,167,228,148,219,242,704,"29,376","3,811","4,476","64,633","40,683","1,818","1,053",742,"10,297","2,873","1,500",401,352,248,212,"1,176",643,772,167,423,150,307,164,504,148
Aomori-ken,"24,528","1,838",-,"2,056","3,356",998,439,624,463,328,294,"1,818","1,555","4,460","2,491",209,57,117,39,66,141,120,410,552,114,50,184,294,189,74,29,19,37,67,166,127,36,24,31,17,196,23,68,27,38,71,70,146,"10,324",786,741,"9,236",631,"2,340",352,216,"3,193",892,522,188,107,64,94,193,102,112,15,55,31,34,22,53,20
Iwate-ken,"20,960",852,"1,880",-,"4,712",941,445,655,391,299,231,"1,477","1,144","3,453","1,753",211,48,73,23,85,143,56,246,385,134,47,93,272,130,22,41,10,19,55,100,28,19,45,25,26,116,10,29,29,40,32,47,88,"7,827",575,517,"8,555",395,"3,144",363,158,"2,496",745,407,142,96,41,35,137,68,89,19,32,35,60,10,68,15
Miyagi-ken,"46,670","2,134","2,097","3,678",-,"1,660","2,942","3,797",980,"1,024",473,"3,561","2,906","8,418","4,061",743,155,213,50,167,316,172,685,"1,323",185,138,393,"1,129",628,132,75,28,30,146,335,84,32,96,98,54,706,63,86,152,84,130,106,205,"18,946","1,680","2,282","27,208","1,262","11,710","1,050",459,"6,431","1,876",961,307,435,147,129,674,280,374,67,204,80,188,104,392,78
Akita-ken,"16,538",632,"1,010","1,303","2,679",-,613,495,324,250,194,"1,176","1,037","3,158","1,472",349,43,62,18,45,115,45,205,300,54,46,113,221,90,36,11,13,12,33,62,44,8,13,27,9,77,7,15,23,7,25,29,38,"6,843",399,460,"6,886",322,"2,005",311,166,"2,300",590,385,122,214,47,25,82,82,72,22,31,16,36,14,32,12
Yamagata-ken,"17,579",428,332,452,"3,944",544,-,"1,250",327,399,217,"1,332",993,"3,107","1,496",666,49,106,16,74,135,45,228,311,72,56,113,240,124,41,14,5,5,27,48,38,28,16,27,11,91,10,16,36,18,28,32,32,"6,928",428,518,"7,738",188,"2,844",312,136,"2,297",600,336,117,396,42,19,114,81,101,7,32,8,26,19,36,27
Fukushima-ken,"30,968",736,429,655,"5,018",422,"1,123",-,"1,860","1,529",535,"2,876","2,091","5,937","2,770",942,87,97,34,181,314,122,416,471,128,80,222,453,241,54,23,17,26,84,145,70,16,38,51,33,187,22,81,48,39,54,84,127,"13,674",721,970,"12,511",385,"3,197",713,375,"4,253","1,157",631,219,540,94,71,194,157,151,52,82,46,64,26,83,21
Ibaraki-ken,"49,859","1,118",320,309,"1,049",225,263,"1,524",-,"3,391",969,"5,687","8,870","11,903","4,586",443,204,187,141,262,452,170,867,"1,102",335,185,446,940,569,146,104,44,63,262,302,174,70,114,146,56,641,64,142,187,145,147,202,333,"31,046","1,607","2,101","18,012",501,642,"1,108",904,"9,175","1,798","1,042",358,191,123,151,455,282,323,86,183,127,127,140,225,71
Tochigi-ken,"32,283",677,230,282,960,176,244,"1,094","2,943",-,"2,467","5,129","2,118","6,846","2,986",413,101,102,49,125,383,121,626,761,334,156,223,586,374,111,40,20,45,99,156,82,43,47,43,36,399,57,79,132,83,73,79,153,"17,079","1,216","1,294","11,596",274,571,"1,484",378,"5,188","1,145",663,230,200,109,167,327,140,178,51,93,48,67,91,128,64
Gumma-ken,"29,325",529,191,184,457,144,173,494,984,"2,531",-,"6,422","1,720","6,349","2,754",857,103,165,56,186,"1,016",114,594,650,130,101,220,491,264,66,36,13,26,110,148,41,28,43,68,23,315,34,66,102,38,60,68,161,"17,245",894,"1,041","10,228",233,288,"1,163",266,"4,654","1,205",533,193,387,141,121,261,144,185,16,91,58,75,59,109,46
Saitama-ken,"146,356","3,651","1,202","1,135","3,199",731,822,"1,984","4,946","4,070","5,434",-,"12,964","57,913","13,925","2,204",459,602,205,852,"2,258",627,"3,016","3,854",704,483,"1,038","4,095","2,124",409,217,239,210,720,"1,116",472,192,372,388,220,"3,001",281,373,806,358,495,728,"1,262",-,"5,185","7,666","87,597","1,812","2,136","16,975","1,726","44,866","5,357","3,229","1,108",940,551,762,"1,923",705,"1,300",325,663,394,606,451,"1,307",461
Chiba-ken,"134,203","3,575","1,044",902,"2,483",666,636,"1,483","7,477","1,836","1,431","13,642",-,"49,734","14,999","1,448",405,551,201,622,"1,392",565,"2,515","3,860",714,536,"1,166","4,746","2,598",512,265,174,201,681,"1,358",569,226,520,499,250,"3,224",261,518,652,447,505,795,"1,319",-,"5,139","9,022","85,063","1,856","1,676","2,820","15,047","42,122","6,373","3,669",923,667,566,437,"2,000",750,"1,534",348,770,321,759,598,"1,449",378
Tokyo-to,"337,539","10,512","2,992","2,637","6,942","2,099","2,188","4,286","8,879","5,314","4,688","58,018","41,989",-,"73,501","4,618","1,471","1,776",851,"3,723","6,057","1,823","8,793","11,894","1,754","1,317","4,142","15,235","7,874","1,373",723,647,794,"2,230","4,153","1,681",806,"1,506","1,676",964,"10,045",919,"1,785","2,372","1,478","1,742","2,856","4,416",-,"15,471","28,624","167,086","5,882","4,904","10,631","5,388","43,256","27,527","24,401","6,972","1,925","1,944","1,455","7,049","3,140","6,715",862,"2,700","1,262","2,600","1,230","5,805","1,438"
Kanagawa-ken,"195,314","5,264","1,881","1,412","3,747",963,"1,057","2,151","4,052","2,741","2,284","13,543","14,071","78,793",-,"2,205",740,967,361,"1,647","2,841",962,"7,837","7,049","1,289","1,023","2,252","7,236","4,394",785,314,301,342,"1,228","2,680",975,352,559,715,431,"5,267",566,"1,237","1,304",774,796,"1,622","2,304",-,"9,300","14,667","145,275","2,729","2,524","3,053","2,158","55,318","33,363","18,504","9,032",927,"1,435",969,"3,671","1,406","2,414",448,"1,458",645,"1,201",836,"2,492",692
Niigata-ken,"27,788",618,149,189,938,267,472,805,566,467,"1,147","2,975","1,966","6,785","2,957",-,654,806,144,186,"1,230",161,450,723,146,121,330,728,323,82,52,19,47,116,149,56,37,68,72,28,329,29,57,54,53,43,66,128,"14,683","1,030","1,463","18,502",269,641,793,349,"4,895","1,250",730,227,"7,800",108,83,353,219,260,63,93,47,62,70,157,33
Toyama-ken,"13,506",275,48,37,195,22,35,89,168,107,127,488,559,"2,078",951,577,-,"2,207",384,57,306,343,237,"1,163",180,170,390,887,415,87,32,21,18,80,102,54,28,33,37,7,173,19,56,65,29,32,59,79,"4,076","1,686","1,779","4,717",125,139,132,106,"1,536",427,239,66,252,75,60,553,273,321,69,130,34,47,23,77,33
Ishikawa-ken,"18,585",397,97,76,251,68,62,94,182,136,181,722,709,"2,535","1,105",590,"2,008",-,990,65,357,389,425,"1,964",265,471,639,"1,486",678,123,61,56,38,115,178,81,41,68,59,29,324,36,40,55,56,91,55,137,"5,071","2,618","2,926","6,671",205,190,169,154,"1,928",510,298,52,286,116,127,970,426,578,73,196,66,103,53,137,34
Fukui-ken,"10,548",142,29,34,57,27,10,65,155,42,46,266,310,"1,221",478,140,443,"1,219",-,42,85,252,228,"1,011",129,424,885,"1,310",526,110,61,29,71,82,101,53,19,30,38,24,111,19,26,34,35,40,40,49,"2,275","1,392","2,831","3,571",50,34,53,38,926,214,111,21,59,60,53,448,528,571,89,169,40,33,13,46,15
Yamanashi-ken,"14,720",212,45,84,190,30,37,165,245,189,236,"1,040",836,"4,976","2,128",198,64,61,34,-,836,81,"1,078",434,73,54,125,297,130,30,27,17,15,51,65,38,19,22,30,16,150,15,29,133,29,48,51,57,"8,980",588,582,"5,790",90,127,236,140,"2,611",768,441,312,98,188,147,176,69,90,28,42,28,32,26,67,74
Nagano-ken,"29,172",598,116,133,358,86,119,239,498,419,"1,079","2,561","1,716","7,227","3,055","1,234",298,424,111,885,-,613,927,"2,488",295,169,488,868,466,138,50,38,41,126,141,56,27,67,92,49,278,40,36,113,54,79,92,185,"14,559","3,396","1,960","11,864",290,223,686,318,"4,935","1,222",683,264,484,192,188,"1,132",333,315,71,166,67,80,56,102,57
Gifu-ken,"30,742",341,85,60,183,52,51,141,201,102,112,745,886,"2,810","1,212",143,386,374,238,116,574,-,"1,044","14,038","1,238",525,585,"1,319",635,185,91,45,43,139,183,143,62,86,127,51,429,42,123,143,90,161,170,233,"5,653",-,"2,724","10,840",141,118,139,120,"2,048",516,271,88,61,235,303,"5,100",407,523,92,226,76,90,76,156,54
Shizuoka-ken,"57,299","1,376",362,266,845,213,228,448,936,628,586,"3,117","2,906","11,564","9,705",446,245,511,157,984,884,978,-,"8,750","1,031",422,845,"1,975","1,149",314,172,144,130,345,510,253,103,139,221,116,"1,050",119,280,373,211,374,320,568,"27,292","10,759","4,283","34,836",530,478,603,473,"8,500","3,819","1,601",580,177,"6,087","5,737","3,336",606,688,133,381,130,269,173,361,174
Aichi-ken,"103,570","2,576",426,325,"1,366",231,229,463,936,701,591,"4,083","4,416","15,792","7,776",624,948,"1,637",790,348,"2,085","11,464","7,482",-,"7,277","1,535","2,300","7,316","3,687",925,416,211,258,858,"1,493",600,252,485,604,327,"3,334",337,"1,011","1,006",482,755,"1,227","1,585","32,067",-,"14,228","64,540","1,127",948,"1,192",750,"12,140","3,768","1,739",468,296,"1,572","2,448","28,517","1,577","2,691",493,"1,162",379,888,498,"1,483",404
Mie-ken,"29,973",307,95,183,192,44,42,132,270,301,141,811,800,"2,511","1,426",142,166,309,139,72,267,"1,231",925,"9,083",-,707,961,"3,190","1,100",931,448,69,50,210,316,191,67,86,137,70,542,87,154,211,179,138,188,352,"5,548",-,"6,182","11,327",121,117,184,121,"1,858",632,335,81,50,210,301,"4,172",597,"1,354",256,328,95,123,129,179,84
Shiga-ken,"25,842",305,36,47,165,40,33,93,199,153,130,604,573,"2,159","1,139",98,178,379,363,38,182,526,442,"1,790",718,-,"5,031","4,446","1,930",567,180,93,94,349,362,166,94,174,153,97,507,59,123,181,159,156,300,231,"4,475","3,034","11,974","10,744",122,94,137,95,"1,609",484,266,81,43,69,98,734,"3,761","1,692",255,535,156,167,99,180,67
Kyoto-fu,"55,280",820,169,88,368,80,84,172,386,244,186,"1,122","1,312","5,618","2,399",289,363,544,654,93,433,490,748,"2,391",798,"5,909",-,"13,131","5,250","2,484",631,296,301,824,"1,102",404,323,423,435,292,"1,353",114,376,357,266,239,485,434,"10,451","3,679",-,"25,196",379,239,297,194,"4,473","1,031",504,115,145,173,177,"1,147","7,706","4,644",532,"1,538",403,508,225,598,168
