,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi,ÅúTotal
Total,"2,275,331","48,544","17,061","17,113","47,124","11,353","12,921","25,505","45,166","29,760","26,344","159,389","143,081","413,444","205,368","21,316","12,206","17,519","8,557","12,366","25,765","25,459","49,211","111,160","25,728","24,656","53,759","152,537","85,933","23,004","10,681","8,672","10,248","28,054","45,966","21,394","9,107","16,937","17,080","8,919","98,344","14,831","22,105","26,003","17,852","17,404","25,811","24,574","477,790","119,006","198,532","1,263,682","62,960","42,551","52,542","33,617","354,701","114,062","74,053","23,034","16,837","15,722","15,915","79,730","41,198","97,494","21,600","41,125","21,525","36,021","23,604","70,792","24,599","2,275,331"
Hokkaido,"55,418",-,"1,654",841,"2,253",529,480,774,"1,200",647,589,"4,285","4,614","14,336","6,617",602,351,377,142,269,541,341,"1,246","2,776",390,289,890,"2,178","1,130",235,126,96,85,268,478,219,96,179,194,76,"1,153",96,222,235,151,169,222,777,"29,852","3,507","4,433","63,389","39,188","1,558","1,071",727,"10,777","2,936","1,605",387,326,219,220,"1,070",625,816,156,396,130,281,161,587,153,"55,418"
Aomori-ken,"23,384","2,025",-,"2,040","3,076",889,378,575,446,309,230,"1,788","1,693","4,325","2,234",197,36,96,60,69,140,98,339,452,96,44,124,249,189,44,17,9,23,43,178,74,27,24,31,8,335,12,85,24,31,33,47,142,"10,040",646,606,"8,777",688,"2,174",376,258,"3,075",827,474,155,85,51,75,132,74,94,19,68,22,40,14,62,14,"23,384"
Iwate-ken,"20,983","1,036","1,817",-,"4,633",960,422,710,367,281,201,"1,445","1,137","3,536","1,619",211,53,76,25,119,146,71,256,397,121,35,97,280,155,23,24,12,18,54,89,36,34,36,21,18,127,9,32,52,52,36,36,68,"7,737",589,555,"8,461",390,"2,962",410,194,"2,520",672,410,119,103,59,26,161,71,108,16,50,33,43,16,59,39,"20,983"
Miyagi-ken,"47,607","2,196","2,021","3,484",-,"1,737","2,834","4,118",897,917,471,"3,557","3,125","9,028","4,239",690,159,185,57,193,335,139,657,"1,384",210,154,333,"1,132",560,136,50,41,61,161,336,115,31,98,102,57,744,57,61,166,77,137,113,252,"19,949","1,733","2,161","26,642","1,265","10,577","1,132",492,"6,762","2,012","1,035",221,374,139,127,737,236,380,76,187,93,215,107,370,105,"47,607"
Akita-ken,"15,751",674,922,"1,062","2,600",-,597,467,283,240,165,"1,200","1,049","2,903","1,345",336,107,67,45,34,120,50,184,324,36,33,74,201,104,29,14,15,26,31,48,24,16,20,24,13,110,9,29,18,23,15,20,45,"6,497",410,408,"6,609",299,"1,975",328,159,"2,132",593,322,106,202,42,21,113,57,84,16,46,17,21,14,54,8,"15,751"
Yamagata-ken,"16,560",478,319,484,"3,722",474,-,"1,161",294,382,187,"1,179",940,"3,035","1,416",621,54,90,26,84,111,45,200,245,86,43,99,201,85,20,20,6,8,31,55,24,9,17,16,7,91,15,40,28,28,15,24,45,"6,570",376,405,"7,367",201,"2,666",304,133,"2,244",598,317,101,358,37,32,88,67,72,13,26,9,24,16,49,12,"16,560"
Fukushima-ken,"31,344",786,443,737,"4,931",452,960,-,"1,984","1,427",490,"2,715","2,066","6,072","2,818",760,95,112,58,151,273,96,414,634,147,103,182,582,313,71,35,46,29,67,149,60,34,57,67,30,267,37,82,140,69,56,102,145,"13,671",877,"1,148","12,348",290,"3,067",643,341,"4,412","1,140",674,195,334,94,55,261,124,239,54,103,26,58,54,113,71,"31,344"
Ibaraki-ken,"48,875","1,096",311,282,884,145,237,"1,513",-,"3,159",990,"5,612","8,828","11,914","4,554",434,126,211,98,240,447,221,827,"1,104",269,200,347,"1,027",628,110,72,55,88,239,329,171,76,109,109,62,572,93,111,171,97,212,199,296,"30,908","1,594","2,112","18,042",473,515,"1,122",940,"9,256","1,895","1,043",312,183,156,139,459,233,319,99,201,126,143,114,230,84,"48,875"
Tochigi-ken,"32,748",642,221,226,915,191,277,"1,072","3,073",-,"2,484","5,273","2,242","6,887","3,082",404,119,129,58,191,379,127,630,709,280,141,210,689,418,77,47,22,39,114,171,71,33,75,77,40,275,66,70,127,57,83,79,156,"17,484","1,116","1,394","11,692",281,558,"1,485",369,"5,213","1,277",655,192,181,113,123,288,122,189,147,122,72,80,44,106,75,"32,748"
